Equipo,xG_favor,xGA_contra,Forma,Jerarquia
Tijuana,1.27,1.47,0.55,6.5
Atlas,1.09,1.49,0.5,7
Necaxa,1.38,1.4,0.45,6
San Luis,1.25,1.45,0.6,6.5
Guadalajara,1.61,1.09,0.65,9
América,1.56,1.09,0.85,8
Monterrey,1.52,1.33,0.75,9
Pachuca,1.39,1.24,0.7,8
Puebla,1.19,1.54,0.4,5
Santos,1.16,1.79,0.55,6.5
Toluca,1.65,1.15,0.75,8.5
Juárez,1.34,1.35,0.35,4.5
Pumas,1.22,1.55,0.6,7
Querétaro,1.19,1.55,0.3,4
Cruz Azul,1.73,1.1,0.9,9
Atlante,1.16,1.7,0.25,4
León,1.35,1.59,0.6,7.5
Tigres,1.55,1.24,0.8,8